%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1563269738604973535,3175,1563269735604863882,/gps,0,1,50.9389391667,-1.4708905,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738605198343,3176,1563269735786218881,/gps,0,1,50.9389391667,-1.4708905,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738607733186,3177,1563269736195677995,/gps,0,1,50.9389391667,-1.47089033333,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738608033036,3178,1563269736383075952,/gps,0,1,50.9389391667,-1.47089033333,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738608536702,3179,1563269736619035959,/gps,0,1,50.9389391667,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738609450783,3180,1563269736796287059,/gps,0,1,50.938939,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738610632266,3181,1563269737011723995,/gps,0,1,50.938939,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738612072445,3182,1563269737217194080,/gps,0,1,50.9389391667,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738644422950,3183,1563269737424459934,/gps,0,1,50.938939,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738645104127,3184,1563269737590378046,/gps,0,1,50.938939,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738646111235,3185,1563269737816772937,/gps,0,1,50.938939,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738647406961,3186,1563269738005284070,/gps,0,1,50.9389391667,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738652276640,3187,1563269738185226917,/gps,0,1,50.9389391667,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738662262663,3188,1563269738415904998,/gps,0,1,50.9389391667,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269738753244680,3189,1563269738603302955,/gps,0,1,50.9389391667,-1.47089016667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269739199490872,3191,1563269739020035028,/gps,0,1,50.938939,-1.47089,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269739285407523,3192,1563269739218782901,/gps,0,1,50.9389391667,-1.47089,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269739941594402,3194,1563269739622003078,/gps,0,1,50.9389391667,-1.47088983333,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269739941608738,3195,1563269739795649051,/gps,0,1,50.9389391667,-1.47088983333,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269740665434876,3197,1563269740425775051,/gps,0,1,50.9389391667,-1.47088983333,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269740665445596,3198,1563269740591618061,/gps,0,1,50.9389391667,-1.47088983333,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269741432157497,3200,1563269741004069089,/gps,0,1,50.9389391667,-1.47088966667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269741432247357,3201,1563269741178313016,/gps,0,1,50.9389391667,-1.47088966667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269741499975963,3202,1563269741417861938,/gps,0,1,50.9389393333,-1.47088966667,16.9,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269743380701254,3211,1563269743220537900,/gps,0,1,50.9389393333,-1.4708895,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269743429176306,3212,1563269743402160882,/gps,0,1,50.9389393333,-1.4708895,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269743592411636,3213,1563269743584692001,/gps,0,1,50.9389395,-1.4708895,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269743830613817,3214,1563269743822551012,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269744021350551,3215,1563269744017971992,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269744184965703,3216,1563269744180448055,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269744425939407,3217,1563269744422600030,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
